POSTCODE,Number of meters,Consumption (kWh),Mean consumption (kWh),Median consumption (kWh)
VSW01533,5,18435.212661,3687.0425321,1457.9624135
VSW01535,12,110288.82294799999,9190.7352454,7143.17507415
VSW01538,11,106840.75173,9712.7956119,9867.4579624
VSW01543,13,107089.02077,8237.6169824,4999.0108803
VSW01559,8,82959.446093,10369.930762,10720.573689
VSW01657,19,47792.284866,2515.383414,483.67952522
VSW02166,34,613580.61326,19062.470717,12445.5984173
VSW02167,18,296926.80514,16495.933619,16424.332344
VSW02168,24,458592.48269,18056.764479999998,16905.04451
VSW02169,5,68283.877349,13656.77547,16780.41543
VSW02174,9,63081.107814,7009.0119793,2023.7388724
VSW02176,26,549563.79822,19173.6832345,20459.446093
VSW02178,11,186801.18694,16981.926086,16308.605341
VSW02179,25,359941.64194,14474.7260655,13560.583580499999
VSW02180,18,342595.45004599995,17048.7141445,12918.15034625
VSW02183,40,563351.13749,15382.112178,13902.077151
VSW02186,32,32502.472799199997,980.57086337,473.78832839000006
VSW02189,16,47353.115727,2959.5697329,437.68545994
VSW02190,9,76846.686449,8538.5207166,1737.8832839
VSW02193,68,989662.71018,15161.2438695,12206.23145385
VSW02209,15,342587.53709,22839.169139,12977.250247
VSW02214,38,467449.06033999997,18317.206561,15887.4876362
VSW02665,21,273475.76657,13022.655551,12115.727003
VSW02667,14,86042.532146,6145.8951533,4709.1988131
VSW02711,17,219550.93966,12914.761157,8977.2502473
VSW02763,7,182235.41048,26033.630069,31098.911968
VSW02765,10,68988.13056399999,6898.8130564,7049.4559842
VSW02864,13,48772.502473,3751.7309594,2981.206726
VSW02925,26,201023.73887,7731.6822643,6896.6369931
VSW03092,27,618816.02374,22838.501484,23054.401582500002
VSW03114,18,481458.95153,26747.71953,25763.600396
VSW03119,17,114719.09001,6748.1817653,5357.0722057
VSW03134,22,121845.69733,5538.4407877,5574.1839763
VSW03173,21,341733.92681,16273.044134,12702.274975
VSW03201,40,631924.8269,15782.725855,14159.248269
VSW03203,16,238553.90702,14909.619189,12647.873393
VSW03204,11,170703.26409,15518.478554,12363.006924
VSW03228,5,57503.461919,11500.692384,5429.2779426
VSW03229,18,213649.85163,11869.436202,11869.436202
VSW03230,57,667277.94263,11706.630572,11869.436202
VSW03407,43,308541.04847000004,7144.46071565,5452.52225515
VSW03427,26,240199.80218,9741.99491855,6147.87339265
VSW03465,46,515521.26608000003,10723.7001172,8705.24233435
VSW03467,57,569279.92088,10051.916555125,9312.8090999
VSW03470,6,114551.92878,19091.988131,19435.212661
VSW03472,5,164113.74876,32822.749753,30438.18002
VSW03480,26,294827.89318,11339.534353,9611.7705242
VSW03482,10,479612.26509,47961.226508499996,55601.879327500006
VW00001,21,258476.75568600002,12299.703264,11728.486647
VW00002,132,1319844.7082099998,10057.18928405,7953.016815049999
VW00004,7,39759.643917,5679.949131,5272.9970326
VW00005,35,323243.32344,9137.479502,8712.90801185
VW00006,21,115694.36202,5509.2553342,3232.4431256
VW00008,12,139739.86152,11644.98846,13050.939664
VW00009,33,365285.85558,11067.367975000001,9821.711177
VW00010,16,144577.645895,8785.8226179,7793.5212661
VW00011,44,410009.891197,9338.3209407,9481.20672595
VW00012,10,70910.979228,7091.0979228,5508.4075173
VW00013,24,204522.255198,8604.093856599999,7818.4965381
VW00014,26,255694.362022,9386.70083625,10265.08407515
VW00016,5,35344.21365,7068.84273,6699.3076162
VW00017,74,540932.739861,6879.227513066667,6627.1018793
VW00018,121,1294768.54599,10675.574839,9898.36795245
VW00019,58,618651.82987,13403.90908355,12072.70029675
VW00020,49,384280.90998999996,9338.1097401,6789.81206725
VW00021,68,524422.3541,7758.769477933333,5781.40455
VW00022,43,361449.06034,8408.372486,8189.1691395
VW00023,11,114185.9545,10380.541318,12508.407517
VW00025,14,104689.41642,7477.8154585,7398.1206726
VW00026,13,103464.886251,7400.3832839,6701.78041545
VW00027,8,49188.92186,6148.6152324,5186.9436202
VW00028,6,41003.956479,6833.9927465,7171.6122651
VW00091,69,57724.035608000006,835.6361276,666.1721068249999
VW00096,39,295654.79723,7580.8922367,6267.0623145
VW00097,103,886880.31652,8617.826085,7370.67260135
VW00103,27,18221.5628091,677.12307475,364.243323445
VW00124,73,888111.77053,11202.059841549999,7960.9297725
VW00125,5,32941.641939,6588.3283877,6496.5380811
VW00140,45,463249.25816,10294.427959,6805.1434224
VW00469,9,121153.31355,13461.479283,12892.185955
VW00470,9,63596.439169,7066.2710188,7066.2710188
VW00474,5,158259.14936,31651.829871,31651.829871
VW00480,5,54735.905045,10947.181009,8633.0365974
VW00482,14,32764.589515,2340.3278225,917.90306627
VW00545,7,271953.51137,38850.501625,42577.645895
VW00567,7,28477.744807,4068.2492582,3660.7319486
VW00587,10,132464.886251,13246.488625,12735.4104845
VW00593,6,55885.262117,9314.2103528,7176.0633037
VW00596,25,608821.95845,24229.690931999998,25346.191889499998
VW00598,5,3760.6330366,752.12660732,365.97428289
VW00601,5,91762.611276,18352.522255,14616.221563
VW00675,7,52538.081108,7505.4401583,6957.4678536
VW00676,7,29869.436202,4267.0623145,4315.529179
VW00677,9,43988.130564,4887.5700626,4596.4391691
VW00679,5,57306.627102,11461.32542,13503.461919
VW00698,20,141295.74679,7064.7873393,4804.6488625
VW00702,23,135093.96637,5873.6507117,4951.5331355
VW00704,12,93768.545994,7814.0454995,7132.0474777
VW00707,7,44868.447082,6409.7781546,7531.15727
VW00711,5,79275.964392,15855.192878,9481.7012859
VW00723,6,74161.226508,12360.204418,12694.362018
VW00731,5,47803.165183,9560.6330366,7503.4619189
VW00747,10,77476.755687,7747.6755687,3300.1978239
VW00749,22,159642.92779,7256.4967179,5882.2947577
VW00750,9,69727.002967,7747.4447742,7979.2284866
VW00779,29,244165.18299,8419.4890685,7059.347181
VW00781,12,76376.854599,6361.9754133,5094.9554896
VW00795,14,79783.382789,5698.8130564,4812.0672601
VW00848,5,23550.939664,4710.1879327,5328.3877349
VW00863,16,108012.85856,6750.8036597,6056.379822
VW00879,8,83255.192878,10406.89911,10684.965381
VW00885,7,60969.33729,8709.9053271,4253.214639
VW00889,10,128290.80119,12829.080119,8137.9821958
VW00906,5,49251.2364,9850.2472799,11653.808111
VW00911,6,71683.481701,11947.24695,9289.3175074
VW00912,15,141181.998022,9315.3083932,8831.84965385
VW00916,11,188367.95252,17124.35932,14600.395648
VW00917,5,83681.503462,16736.300692,16171.117705
VW00918,5,42797.230465,8559.446093,8095.9446093
VW00921,11,132560.83086,12050.984624,10517.309594
VW00926,7,76824.925816,10974.989402,10176.063304
VW00928,10,105694.36202,10569.436202,10961.918892
VW00934,15,251482.690404,15904.6983185,12462.66073215
VW00935,7,82661.721068,11808.817295,6770.5242334
VW00939,11,150521.26607,13683.751461,14000.0
VW00941,12,173314.54006,14442.878338,9974.7774481
VW00948,9,87685.459941,9742.8288823,6271.0187933
VW00955,6,98885.262117,16480.877019,16969.33729
VW00959,50,411968.348171,8796.796698099999,7894.6587537
VW00960,24,277346.19189,11556.091329,11450.049456
VW00963,11,120662.71019,10969.33729,9727.992087
VW00964,14,125545.99407,8967.5710047,6856.5776459
VW00966,11,113540.05935,10321.823577,7664.6884273
VW00967,18,248008.902073,13097.582437500001,11931.7507418
VW00969,6,88384.767557,14730.794593,14866.468843
VW00973,7,135822.94758,19403.278225,16927.794263
VW00980,16,166297.725022,10393.607813999999,10994.312562
VW00991,5,2183.9762611,436.79525223,214.63897132
VW00992,25,400605.34125,16024.21365,8992.0870425
VW00999,6,110221.56281,18370.260468,18528.684471
VW01005,17,249258.16024,14662.24472,13876.36004
VW01007,6,76933.728981,12822.288164,13735.905045
VW01008,9,139468.84273,15496.538081,17200.791296
VW01010,50,364623.14540100005,7233.2030839,5286.8447082
VW01014,8,105949.5549,13243.694362,12282.888229
VW01015,63,689892.18596,11005.6919252,9465.3808112
VW01016,10,113340.257171,11334.02571695,7766.07319485
VW01019,18,236141.44411,13118.969117,10962.908012
VW01025,6,72866.468843,12144.411474,11477.744807
VW01026,23,175743.818,7641.0355653,5787.3392681
VW01027,6,53986.152324,8997.6920541,6026.7062315
VW01032,26,415063.30366,15963.973218,12761.6221565
VW01033,28,487169.13946,17298.998199,15988.625124
VW01034,11,194623.1454,17693.013218,17664.688427
VW01035,13,161556.87438,12427.451876,7623.1454006
VW01036,12,169800.19782,14150.016485,13635.014837
VW01039,24,432334.32245,18433.974532,15557.8635015
VW01052,6,19875.37092,3312.56182,825.91493571
VW01053,33,684894.16419,20754.368612,18107.814045
VW01054,26,392677.54698,15952.701533,15191.147379
VW01055,28,504666.66667,16297.748162,14446.092977
VW01056,10,150396.63699,15039.663699,13194.856578
VW01058,8,167448.07122,20931.008902,20929.772502
VW01059,19,88969.33729,4682.5966995,1074.1839763
VW01060,5,20299.703264,4059.9406528,3230.4648863
VW01063,15,165864.4906,11057.632707,8798.2195846
VW01064,5,87682.492582,17536.498516,9993.0761622
VW01066,15,178778.43719,11918.562479,12483.679525
VW01067,9,54064.292779,6007.1436422,6052.4233432
VW01070,25,367249.25815999997,16432.767337,14908.011869449998
VW01074,8,116801.18694,14600.148368,13302.670623
VW01077,44,235004.9456,5567.546683433334,4800.1978239
VW01078,5,15638.971316,3127.7942631,653.80811078
VW01079,6,19663.699308,3277.2832179,3793.768546
VW01080,11,56606.330365999995,5084.8664688,4751.73095945
VW01081,10,73286.844708,7328.6844708,4905.0445104
VW01082,11,102124.6290802,8562.87504122,4786.597428305
VW01085,45,248931.75074,5617.07232345,5738.1305638
VW01087,21,22660.7319489,1021.76063305,678.7833827899999
VW01092,34,155379.82196,4569.9947635,3560.8308605
VW01094,32,90395.647874,2736.4231548,1083.0860533999999
VW01095,19,307519.287838,15741.5861425,12496.290801
VW01096,29,359649.851632,11605.3374995,11563.7982194
VW01099,22,354228.48665,16101.294848,12119.188922
VW01100,8,115577.6459,14447.205737,12590.504451
VW01101,69,601376.8546,8772.4466354,7583.3333333
VW01105,60,1073544.01583,17729.6744735,15941.889219
VW01117,19,35893.1750739,1815.77096383,730.2176063500001
VW01121,15,18877.349159,1258.4899439,559.84174085
VW01124,10,6813.0563798,681.30563798,633.53115727
VW01125,15,231963.40257,15464.226838,11418.397626
VW01129,29,236099.90109,8141.3758996,7314.5400593
VW01132,25,109119.683482,4115.9248269,702.02769535
VW01134,60,819996.0435200001,14161.80266245,13737.8832841
VW01135,16,246063.30366,15378.956479,8812.56182
VW01136,11,4061.3254204,369.21140185,372.89812067
VW01138,8,43748.7636,5468.59545,4556.379822
VW01142,7,76381.800198,10911.685743,5248.2690406
VW01143,5,40610.286845,8122.0573689,8520.2769535
VW01172,5,90939.663699,18187.93274,20403.560831
VW01173,12,182552.917899,13729.7583724,13463.897131650001
VW01175,20,323634.02572000003,15952.8020065,11198.3184965
VW01181,5,65913.946588,13182.789318,8655.7863501
VW01225,10,156611.27596,15661.127596,9910.4846686
VW01229,8,65891.196835,8236.3996044,3563.3036597
VW01235,6,53422.354105,8903.7256841,7307.1216617
VW01236,9,35006.923838,3889.6582042,1116.7161227
VW01238,14,156886.25123599998,11206.16080245,7546.48862525
VW01258,10,65748.7636,6574.87636,6549.950544
VW01266,22,296210.682492,12713.351055,11328.8822945
VW01288,5,82582.591494,16516.518299,16742.828882
VW01293,8,33267.062315,4158.3827893,1223.5410485
VW01303,5,71120.672601,14224.13452,14458.951533
VW01313,6,5007.9129575,834.65215958,257.66567755
VW01315,5,150206.72601,30041.345203,21387.734916
VW01322,5,67908.011869,13581.602374,14280.90999
VW01355,25,167451.038571,6839.223403649999,6758.654797249999
VW01359,17,106243.32344,6249.6072613,7181.0089021
VW01360,36,269970.32641,7612.0338613,7582.59149355
VW01362,17,122699.30762,7217.6063304,6815.0346192
VW01366,16,182240.35608,11390.022255,9134.520277
VW01376,5,105323.44214,21064.688427,18815.034619
VW01378,12,178356.08308100002,14461.918892,13367.4579625
VW01382,46,358545.99406000006,7794.47813185,6468.84273
VW01384,37,221031.65183,5973.8284278,5787.3392681
VW01386,7,164897.13155,23556.733079,11008.902077
VW01400,21,455042.53215,21668.692007,15786.350148
VW01404,6,93998.021761,15666.33696,12531.15727
VW01464,8,119140.455,14892.556874,11947.082097
VW01490,12,57344.21365,4778.6844708,4002.4727992
VW01523,7,40622.156281,5803.165183,5454.0059347
VW01531,26,214275.96439,8241.3832458,7952.0276954
VW01533,7,63072.205737,9010.3151053,7542.0375865
VW01544,8,89058.358061,11132.294758,10981.701286
VW01567,5,50305.637982,10061.127596,5878.3382789
VW01584,6,33594.46093,5599.0768216,6484.1740851
VW01588,10,109858.55589,10985.855589,10128.585559
VW01591,55,439125.6182,8048.736909866667,7541.0484669
VW01661,6,31330.365974,5221.7276624,5853.115727
VW01662,6,23618.199802,3936.3666337,4937.1909001
VW01681,16,205970.32641,12873.145401,12555.390702
VW01692,15,69687.43818,4645.829212,3709.1988131
VW01701,12,142600.395648,11883.366303750001,8469.5845697
VW01712,7,42389.713155,6055.6733079,5399.6043521
VW01720,8,98871.414441,12358.926805,11319.485658
VW01727,12,353482.69041,29456.890867,27649.357072
VW01736,6,54221.562809,9036.9271348,7813.5509397
VW01737,5,115020.77151,23004.154303,20396.636993
VW01738,6,115834.81701,19305.802835,20271.513353
VW01743,21,253985.1632,12094.531581,9048.4668645
VW01748,9,101801.18694,11311.242994,7470.8209693
VW01753,13,98411.473788,7757.35657765,7226.0138477
VW01756,6,41655.78635,6942.6310584,6040.553907
VW01766,5,25351.137488,5070.2274975,4401.5825915
VW01769,10,94722.057369,9472.2057369,9160.2373887
VW01774,18,213107.814046,11485.24975275,9797.7250245
VW01776,8,69833.827893,8729.2284866,8577.1513353
VW01777,5,57486.646884,11497.329377,13047.477745
VW01778,22,251572.700298,11296.051763899999,11237.1414439
VW01779,7,67791.295747,9684.470821,8679.5252226
VW01783,6,32812.06726,5468.6778767,6233.4322453
VW01784,13,90051.434224,6927.0334018,6513.3531157
VW01785,9,67953.511375,7550.3901528,7639.9604352
VW01787,35,102719.09001,2976.606051375,1145.40059345
VW01796,5,17273.986152,3454.7972305,3371.909001
VW01802,6,49301.681503,8216.9469172,8992.0870425
VW01804,5,38345.20277,7669.0405539,7119.6834817
VW01805,7,74901.088032,10700.155433,6264.0949555
VW01809,66,584739.8615209999,9107.404669040001,5853.6102868
VW01810,17,67498.516321,4530.2423343,3468.348170105
VW01811,15,180235.41048,12015.694032,12565.776459
VW01821,6,23067.260138,3844.5433564,3015.3313551
VW01822,45,266070.22750000004,5916.03527205,4108.06132545
VW01823,21,83440.158259,3918.24026615,2684.7181009
VW01824,30,132408.506429,4458.3808872,3760.6330366
VW01825,6,82486.646884,13747.774481,8759.1493571
VW01827,7,47668.644906,6809.8064151,4702.2749753
VW01828,8,46851.632047,5856.4540059,5924.3323442
VW01829,37,332800.19782,9095.77733185,7576.162215599999
VW01835,19,140809.0999,7411.005258,7022.7497527
VW01846,32,377769.535115,11042.959809200001,10648.8625122
VW01851,19,124037.58655,6528.2940288,6381.8001978
VW01852,6,83309.594461,13884.93241,15185.459941
VW01853,7,68573.689416,9796.2413452,11076.162216
VW01854,8,85681.503462,10710.187933,11277.448071
VW01855,5,57634.025717,11526.805143,10871.414441
VW01857,6,55619.188922,9269.8648203,10114.737883
VW01858,8,93040.553907,11630.069238,11021.760633
VW01859,6,46618.199802,7769.699967,7880.8110781
VW01860,6,75902.077151,12650.346192,10262.116716
VW01861,7,150683.4817,21526.211672,20807.121662
VW01863,26,348339.26805,13721.514852,11893.6696342
VW01874,89,84545.994065,1265.973907845,770.27695351
VW01877,9,100929.7725,11214.419167,8118.694362
VW01879,7,84933.728981,12133.389854,11966.369931
VW01881,14,248543.02671,17753.073336,15978.733927
VW01888,8,58242.334322,7280.2917903,7027.6953511
VW01892,30,216058.35806399997,6890.716547999999,6966.3699308
VW01896,9,81243.323442,9027.035938,7902.0771513
VW01897,11,56034.619189,5094.0562899,4957.4678536
VW01898,5,52638.971316,10527.794263,10366.963403
VW01901,11,136020.77151,12365.524683,12105.835806
VW01905,8,53546.983185,6693.3728981,4803.6597428
VW01908,6,35558.852621,5926.4754369,5727.4975272
VW01915,7,47030.66271,6718.6661015,7757.6656775
VW01918,7,39568.743818,5652.6776883,5723.0464886
VW01933,18,297655.78635,16536.432575,14466.864491
VW01940,8,43355.093966,5419.3867458,4375.3709199
VW01948,7,39166.172107,5595.1674438,4958.4569733
VW01965,25,306540.05935,12261.602374,6823.9366963
VW01971,24,414314.54006,18010.159672,16470.0791295
VW01974,6,155466.86449,25911.144082,23907.02275
VW01975,30,226866.46883899998,6809.4296076499995,4579.1295747
VW01976,31,309980.21760599996,7764.489425899999,7446.09297715
VW01977,13,78770.524233,6059.2710949,4072.2057369
VW01980,8,92193.867458,11524.233432,9942.1364985
VW01981,13,178872.40356,13668.703782,9337.042532
VW01984,53,590173.095946,10544.783492800001,5975.76656775
VW01989,16,287674.57962,17979.661227,16673.095945
VW01993,7,223292.77943,31898.968489,29241.345203
VW01995,76,782344.21365,10294.002811,9015.82591475
VW01996,79,874937.6854600001,11061.4687158,11205.489614
VW01997,25,208507.4184,8340.2967359,8542.0375865
VW01998,56,106856.577645,2052.7671549,831.35509397
VW01999,22,281190.9001,12781.40455,12398.120673
VW02000,8,90279.92087,11284.990109,8502.9673591
VW02001,7,51491.592483,7355.9417832,5319.4856578
VW02002,5,85712.166172,17142.433234,18253.214639
VW02003,41,332223.54105,8103.0131963,5568.743818
VW02004,16,210164.19387,13135.262117,11381.305638
VW02006,110,1272172.1068199999,11536.2215625,10966.8644905
VW02007,28,712359.05045,32344.2007485,33674.579624
VW02009,9,175989.11968,19554.346631,15880.316518
VW02010,17,198290.80118200002,11787.273326499999,8715.8753707
VW02013,10,2595.4500495,259.54500495,244.31256182
VW02014,11,291724.03561,26520.366873,26343.22453
VW02015,14,431903.06627,32164.0908345,35178.536103
VW02017,54,1151567.7547,19985.3107295,18281.89911
VW02019,21,312897.1315536,10745.950104423333,659.74282888
VW02020,33,374424.33234,11171.937533,9802.917903
VW02021,43,483790.30663,11524.00675905,8136.74579625
VW02022,37,409867.45796,11047.57463225,9357.56676545
VW02023,21,139786.350148,6571.403058433333,4843.71909
VW02027,35,644178.04154,18153.3959775,13656.033630099999
VW02028,33,556607.31949,16318.180780499999,13359.050445
VW02031,18,565915.92483,31439.773601,31813.05638
VW02032,43,758021.76063,18527.0339075,15184.9653805
VW02033,18,8389.7131553,385.01103249,289.81206726
VW02035,10,23035.608309,2303.5608309,1850.148368
VW02039,8,13238.377844,1654.7972305,272.99703264
VW02041,24,329013.84768,14312.9904385,11300.19782415
VW02042,17,22670.6231457,1193.2754848099999,726.75568744
VW02043,52,772681.50346,14859.259682,11781.651829999999
VW02045,47,495889.21859000006,10947.967532333334,6789.3175074
VW02046,55,429289.81207,7851.3697212,4742.08704255
VW02047,46,627020.77152,13705.2784755,10337.78437185
VW02048,91,1307392.6805099999,14393.407808,11465.1335314
VW02049,14,251807.12166,17986.222976,13721.562809
VW02050,52,771094.9554900001,14769.129849666666,12402.077151
VW02054,141,1348160.23744,9686.393658,8318.0019782
VW02055,61,691221.56281,12082.021423999999,10930.76162195
VW02060,28,302249.25816,10794.616363,9688.4272997
VW02064,20,249274.97527,12463.748764,10805.143422
VW02066,33,428923.83778,12997.692054,10284.866469
VW02067,7,3908.0118694,558.28740992,335.3115727
VW02068,40,364290.801186,8907.449428799999,7499.2581602499995
VW02069,66,702119.68348,11151.461669,9182.2453015
VW02071,77,859286.8447,10772.807936000001,8839.0207715
VW02073,40,441641.93868,10788.1544765,8758.1602374
VW02075,87,1029026.70623,11660.292723999999,10012.3639962
VW02077,13,103147.3788293,6513.58803143,6162.71018809
VW02078,20,196571.71118,9828.5855589,7040.553907
VW02079,34,372942.63105699996,10315.4216658,5716.1226508
VW02081,12,167656.77547,13971.397956,11466.369931
VW02084,48,605761.62216,12725.6593555,12351.6320475
VW02085,44,366169.13947,8322.025897,5666.1721068
VW02087,47,762419.38675,16221.68908,12568.743818
VW02089,16,57407.5173094,2705.8447981400004,309.09990109
VW02092,14,16825.9149354,1179.195516,232.93768546
VW02093,11,107010.88032,9728.261847,9387.7349159
VW02094,44,404342.23541,9189.5962593,5700.2967359
VW02095,63,750027.6953499999,10788.696644349999,10001.483679500001
VW02098,37,587534.1246291001,14046.128008595,9795.499505565
VW02099,55,785754.69832,14286.44906,11843.71909
VW02101,23,374313.55094,17388.347228,14630.5637985
VW02102,9,137275.96439,15252.884932,12835.806133
VW02103,12,183355.09397,15279.591164,11392.680514
VW02104,20,296373.887239,14249.03835565,12623.639960499999
VW02110,32,577951.53313,18371.810874000003,15864.737882999998
VW02112,69,600689.41642,8519.86619405,7297.97230465
VW02113,40,601693.3729,15042.334322,13274.975272
VW02117,35,705452.02769,19980.900569999998,17869.436202
VW02118,57,660687.43818,11591.007687,8004.9455984
VW02122,39,437390.70227,11215.146212,9070.2274975
VW02126,41,360401.58259,8790.2825022,8592.4826904
VW02127,27,290195.8457,10747.994285,7779.4263106
VW02128,17,183927.79426,10819.282015,9967.3590504
VW02129,21,150051.43422,7145.3063916,6973.2937685
VW02131,8,134010.88032,16751.36004,15880.811078
VW02133,12,4841.7408506,381.41868023,184.47082097
VW02137,7,3561.8199802,508.83142575,388.72403561
VW02138,47,489500.49456,10414.90414,6411.4737883
VW02139,8,156320.47478,19540.059347,18004.945598
VW02143,32,312654.79723,9842.02773805,6583.08605345
VW02145,26,307963.402569,13106.584711,7026.2116716
VW02151,109,970552.9179,8904.1552101,7731.9485658
VW02154,23,478649.85163,20810.863114,18770.524233
VW02156,32,286970.326405,9077.49298775,7944.609297700001
VW02157,36,88104.846687,2404.97867115,770.0296735899999
VW02158,35,110438.18001899999,3025.8700348499997,903.313550965
VW02160,12,4926.8051434,422.933446375,359.54500494499996
VW02161,52,873539.07023,15983.040624000001,12408.506429149998
VW02162,29,293281.89911,11446.6275014,10342.729970150001
VW02166,47,572375.8654799999,12700.6342,7947.3293769
VW02167,48,205318.496539,4109.179825475,3435.7072206000003
VW02169,9,168384.76756,18709.418617,15839.762611
VW02170,44,555205.7369,12078.04112015,9426.063303449999
VW02177,36,69779.426311,1881.1943620000002,695.10385757
VW02178,42,131874.3818,3044.28291085,1157.764589525
VW02179,47,130103.857567,2692.5546264,740.85064293
VW02182,79,571752.72008,7237.3762035,5905.0445104
VW02185,46,444764.58952000004,10430.178748,9334.8170128
VW02186,52,461463.89713,8981.586572299999,9118.1998022
VW02190,29,445056.37982000003,15649.35945,8016.07319465
VW02191,77,1157114.73788,15127.692323,13009.643917000001
VW02192,47,577585.55885,12289.054444,11086.053412
VW02194,37,500329.37685,13381.8517145,10138.22947555
VW02196,78,705194.8565799999,9058.38474155,8595.45004945
VW02197,79,736826.90405,9330.54541075,8717.359050449999
VW02198,77,740140.4550000001,9576.651428699999,7676.310583549999
VW02201,79,602977.25025,7635.68756495,7246.5380810999995
VW02202,78,607346.1918899999,7780.18962465,7686.4490603
VW02203,76,787679.52522,10364.204279000001,9052.917903099999
VW02204,76,891962.4134500001,12624.0895605,10508.1602375
VW02205,7,88759.643917,12679.949131,10001.978239
VW02206,15,14576.6567758,937.190900105,400.84075172999997
VW02208,61,575034.6191799999,9404.233031566668,8799.2087043
VW02209,66,640443.1256200001,9792.64479605,8565.529179050001
VW02210,28,300888.22947,11000.0515165,11091.9881305
VW02211,43,399810.08902,9494.49910655,8589.762611049999
VW02212,28,532825.91494,19029.496962,16196.340257
VW02784,87,1255265.08408,14635.762254000001,13127.3491593
VW02786,27,423910.97923,15700.406638,15014.836795
VW02787,32,525603.36301,18072.4731655,11410.9792285
VW02788,26,417300.69238,15697.782723,9845.45004935
VW02789,35,392507.41839299997,8867.210682249999,8206.72601395
VW02799,78,905502.4728,11591.339996499999,11301.1869435
VW02800,79,916175.07418,11588.604834,10948.5657765
VW02801,28,404483.67952999996,13292.5870975,12912.4629082
VW02802,118,1215377.8437100002,9461.7204344,8969.83184965
VW02804,44,524206.72601,11913.789228,10506.429278
VW02805,74,954531.1572700001,12976.38177,13213.1552915
VW02810,114,971252.22551,8511.753942,7910.97922845
VW02811,48,357815.03462,7454.4798879,6979.2284866
VW02812,101,940255.19288,9279.71698665,8535.855588499999
VW02813,105,1054216.6172099998,10036.10556595,9498.0217606
VW02814,104,943110.78141,9096.374405350001,8573.194856600001
VW02815,23,21301.681503300002,899.96702934,531.15727003
VW02816,53,969320.47478,17993.904957500003,14831.602374
VW02817,24,305761.62216,12740.06759,9263.6003956
VW02818,43,39160.237389,944.785599135,424.332344215
VW02821,96,865903.0662700001,8700.663338133332,7384.272997
VW02823,35,328610.28684,9388.8653384,7027.6953511
VW02824,107,1233939.6637,10921.57385075,8441.1473788
VW02825,25,367417.40851,14696.69634,10417.408506
VW02826,41,357333.33333,8714.7637888,7820.72205735
VW02827,39,372475.76657,9047.16546535,9608.061325499999
VW02828,55,548083.08605,9965.1470192,7024.7279921
VW02829,63,638757.66568,10139.010566,8409.495549
VW02830,58,592668.6449,10323.5920029,9337.7843717
VW02831,228,2029374.87634,10675.513107033332,8252.2255193
VW02832,34,304411.47379,8953.2786408,7913.4520277
VW02833,22,286853.61029,13038.800468,11122.650841
VW02835,127,1176043.5212599998,9956.7830338,7665.677546999999
VW02836,88,767181.00891,10884.696905249999,10956.973293949999
VW02838,78,773958.45698,9991.58361025,7813.056379850001
VW02839,120,1270076.1622199998,11001.99174415,9919.38674555
VW02840,33,381796.24135,11569.583071,10949.554896
VW02841,128,1240007.9129599999,9581.200652033333,7928.7833828
VW02842,74,648686.44906,8766.0330954,7079.1295747
VW02843,31,253753.709203,8158.973513599999,8239.8615232
VW02844,43,496400.59346999996,11245.2522255,9453.51137485
VW02849,77,842761.62215,11090.3749235,9217.60633015
VW02850,50,472582.59149,9451.6518299,9172.1068249
VW02851,68,725354.10484,10331.6465311,8830.860534
VW02852,65,673410.48467,10360.161303,10001.978239
VW02853,39,215926.80514,5536.5847473,4857.5667656
VW02855,91,924198.81306,10126.486134499999,7776.70623145
VW02856,16,140751.730959,8495.07795185,5300.69238375
VW02858,35,33417.408506,1033.52409215,496.78536103
VW02859,20,189161.22651,9458.0613254,7951.0385757
VW02860,30,272407.51731,8975.97263435,7445.8456973
VW02861,15,110351.13749,7356.7424992,3625.12364
VW02862,24,176743.818003,7032.9047148,6897.1315529
VW02901,37,356094.95549,9624.1879862,6649.851632
VW02903,21,212987.14144,10142.244831,6401.5825915
VW02953,11,190223.54105,17293.049186,14622.156281
VW03000,5,195337.28981,39067.457962,42014.836795
VW03003,37,498384.76756,13469.858583,14022.749753
VW03042,6,35753.709199,5958.9515331,4766.0731949
VW03043,115,1024780.4154,8911.1340472,7763.6003956
VW03058,7,75422.354105,10774.622015,14969.33729
VW03084,34,332732.93769,9786.2628731,8331.8496538
VW03086,17,68920.870425,4054.1688485,810.08902077
VW03134,5,51919.881306,10383.976261,8346.1918892
VW03171,7,116664.68843,16666.384061,14178.041543
VW03204,51,436955.48961,8567.7546983,6348.1701286
VW03216,14,216907.02275,15493.358768,11836.300692
VW03218,8,62047.477745,7755.9347181,6762.611276
VW03253,48,487591.49357,10158.156116,6192.3837784
VW03263,42,332295.746787,7277.72609405,6269.0405539
VW03266,12,246687.43818,20557.286515,8293.768546
VW03267,90,1053618.1998,11547.45861025,8848.4174085
VW03287,5,157883.28388,31576.656775,33434.223541
VW03293,6,87413.452028,14568.908671,14124.13452
VW03294,10,142482.69041,14248.2690405,11071.2166173
VW03297,52,408269.04055,7851.327703,6209.1988131
VW03313,8,39812.06726,4976.5084075,5223.5410485
VW03352,7,50058.358061,7151.1940088,5286.8447082
VW03366,13,116886.25124,8991.2500951,9104.8466864
VW03372,15,274524.23343,18301.615562,17080.118694
VW03381,46,411300.69238,8941.31939965,7998.021760600001
