POSTCODE,Number of meters,Consumption (kWh),Mean consumption (kWh),Median consumption (kWh)
W9 1ED,71,994068.24926,14000.961257,10702.274975
W9 1EE,28,378365.97428,13513.07051,5493.0761622
W9 1EH,77,1100216.6172,14288.527496,10818.991098
W9 1EJ,67,839243.32344,12526.019753,9921.859545
W9 1EL,96,1350314.5401,14065.776459,11846.686449
W9 1EP,39,653898.12067,16766.618479,12471.810089
W9 1ES,56,780798.21958,13942.82535,10375.86548
W9 1ET,56,641839.76261,11461.424332,10412.462908
W9 1EU,5,33006.923838,6601.3847676,7004.9455984
W9 1EY,52,659637.9822,12685.345811,9877.8437191
W9 1EZ,54,770780.41543,14273.711397,10796.735905
W9 1HD,39,439964.39169,11281.138248,10155.29179
W9 1HP,80,977213.64985,12215.170623,10597.922849
W9 1HR,74,1003299.7033,13558.104098,10222.057369
W9 1HT,47,742404.54995,15795.841488,14805.143422
W9 1HU,49,669378.83284,13660.792507,13907.02275
W9 1HX,9,118636.99308,13181.88812,12876.36004
W9 1JA,5,118082.09693,23616.419387,24752.720079
W9 1JB,12,430709.19881,35892.433234,34300.197824
W9 1JD,34,378680.51434,11137.662187,10037.091988
W9 1JG,30,460278.93175,15342.631058,14407.51731
W9 1JH,12,119954.50049,9996.2083745,9415.9248269
W9 1JL,23,298773.49159,12990.151808,13081.107814
W9 1JN,32,469549.95054,14673.435955,15595.450049
W9 1JP,30,488742.82888,16291.427629,15619.683482
W9 1JQ,30,413840.75173,13794.691724,12675.568744
W9 1JR,49,530055.3907,10817.456953,8727.0029674
W9 1JW,11,378352.12661,34395.647873,36582.591494
W9 1JY,19,660787.33927,34778.281014,34066.271019
W9 1JZ,12,236757.66568,19729.805473,16684.470821
W9 1LE,31,382629.08012,12342.873552,10960.435213
W9 1LF,31,386789.31751,12477.074758,11204.747774
W9 1LG,40,462309.59446,11557.739862,11540.059347
W9 1LH,32,432229.47577,13507.171118,13763.600396
W9 1LJ,38,558162.21563,14688.479359,13645.400593
W9 1LN,29,383129.57468,13211.364644,12621.167161
W9 1LQ,32,450002.96736,14062.59273,13559.347181
